stime,timestamp,id,source,dest,nhops
2.699000,2.692703,opqSjP6kyIWgSAIC,1,2,1
2.707000,2.700752,ttm8NWgtGIvCdj4N,1,5,1
2.723000,2.707421,Qknri9n3NjiFtixX,4,1,1
2.726000,2.719370,aEWW0XqCigYfzRHj,1,3,1
2.726000,2.710912,2m38jZYDNJQitMyR,3,1,1
2.730000,2.723709,w87UVjW8kiE7p5wD,1,2,1
2.738000,2.731816,83Z76AlNRUdbx8KN,1,2,1
2.739000,2.732070,6FXP9PmpDD14C0Ep,1,5,1
2.747456,2.739141,dLxRJoWnr1mHpjIq,1,5,1
2.758000,2.742821,uObkLD39OV8xVA2M,3,1,1
2.778000,2.760906,Tevw5dLqcnIWi2B9,3,4,1
2.808000,2.801834,1lCSmLbx8q6tLwJL,1,5,1
2.829109,2.764988,S2tQI9L6rLPxmtOC,3,1,1
2.834000,2.827207,BnBU5V08V52uDSAg,1,3,1
2.842000,2.795867,1O5hg5mKlTcjqDdl,5,2,2
2.848000,2.841450,PyE777aIbAcsVhDV,1,4,1
2.849000,2.833248,oxcYdJHDzTcV8z5o,4,3,1
2.864000,2.857961,DGt5SpwqizwsBa1t,1,5,1
2.878000,2.862551,vfI5kncKGXjxsBYG,3,1,1
2.882000,2.875035,R3ESzv7rWvxfaiFU,1,2,1
2.884437,2.842862,UpQip8rPSGdR70pR,3,2,1
2.899000,2.892709,cDRZzRYJksVL1MHg,1,2,1
2.913673,2.851275,8Q0MgQ0cXxIkTLq7,5,2,2
3.044137,3.019880,xMu4eX4nwVRdFbnC,4,2,1
3.084532,3.062168,MY1ejDOZlTafaj5a,4,1,1
3.121579,3.097063,mtoTJmwDmOk7gVyW,3,1,1
3.128000,3.121100,CHdo6rlQAIt00801,1,4,1
3.133000,3.111598,p86LjpWlXJimadVt,3,4,1
3.138000,3.131165,zqSYYrxjPMqgikUy,1,3,1
3.143000,3.096386,0HduqOgDewcsgtQQ,5,2,2
3.183172,3.169588,kGV3QmHnsBcI0Ktr,1,4,1
3.195000,3.188106,JdTyBrCoaWMAZhvK,1,4,1
3.220000,3.202582,0N0UuaSdjPAzSYrl,3,4,1
3.258000,3.251503,T9ugz1swfM4L2GMp,1,2,1
3.288000,3.281413,hBW2O2eQRSl9tSIG,1,2,1
3.301000,3.280904,yzAR6qQap4KdAzBP,4,1,1
3.333000,3.317540,tACBXsOXBul2VIzT,4,2,1
3.401000,3.394488,YRXNvRBCa62eAoZW,1,4,1
3.428000,3.361721,H4Hfh86of4o4JIay,5,2,2
3.436000,3.420100,ZQmoAAqAyQfxfqCd,4,2,1
3.439000,3.423643,CE8ur7exRwICInla,3,2,1
3.444716,3.398347,4jzlYNaf5rIMOodB,3,2,1
3.462000,3.441685,lLE5JXqgJc9HDO0o,4,3,1
3.472000,3.455505,RaXYFG3pZd4bT54Y,4,2,1
3.497000,3.490935,5xYDVOtzyVzluB4f,1,5,1
3.566000,3.559043,qXigmjjDedM2dNzg,1,2,1
3.569752,3.545957,qwRs0w1qJODEdLzA,4,2,1
3.579000,3.572382,suQ0YQiIO5hXTdMf,1,2,1
3.585000,3.578433,RkjJVM2BRjpfsVdO,1,5,1
3.593000,3.586023,0WhwA7TljHRxB7Ix,1,2,1
3.597000,3.581325,hycGYMrG4PJk2KIS,3,4,1
3.630000,3.623196,ffABq6SGH4AyEU2T,1,2,1
3.639000,3.632354,KDVKNv2quV5UuNf1,1,2,1
3.640000,3.624686,EtrJwmxJ6CZDYchl,4,1,1
3.654000,3.638760,vdpyemxvqPCRzXhb,3,2,1
3.668000,3.661725,mYRtB0RGAPvR3PVZ,1,2,1
3.674000,3.620506,yi844nmooaXlLhll,5,2,2
3.687000,3.680956,XWdxCAQK3fKuvK5a,1,2,1
3.704000,3.688428,hWpw3i4drBla2Emg,4,1,1
3.714000,3.697003,7om8BcBgzjjPFmEX,4,3,1
3.738432,3.674765,EVo9DO1O6W3brZtG,3,4,1
3.743741,3.651818,znxMzdxIxNvfNi67,4,2,1
3.749557,3.482257,E5ityC015dn1fRUR,1,4,1
3.758000,3.751019,cqIdzrmCrXAcmFOZ,1,2,1
3.786000,3.779905,joFI47QwQhaVHGeN,1,5,1
3.791000,3.767903,scAQGAlKhoXE6mmn,4,1,1
3.813000,3.797039,FqYn0X8hQGJY4JPM,4,3,1
3.823000,3.799912,FP0FI0Wcud7MosHy,4,2,1
3.854803,3.792671,GBqaActEVvC0Ztoh,1,4,1
3.887000,3.880273,DnYVcZPPs5zAwAHL,1,2,1
3.888241,3.762545,zxkVRBzlqRSL973w,3,4,1
3.933000,3.917426,p4GeJzNHx259BLif,4,1,1
3.948000,3.941728,eRnDH0jZAOKS0DIA,1,3,1
3.966000,3.909198,TH7fAEw0L0jN3253,5,1,2
3.992714,3.929546,SduRckxL6JLhHT8b,1,2,1
4.028742,4.021623,8ixdqsiaMBZDVqLH,1,5,1
4.035000,4.019335,EpsRYKKDZsPlyx1C,3,4,1
4.035188,3.898717,9hQYzSXUwZvZMeui,1,5,1
4.092777,4.072671,AZespYCvKwzP64Gm,1,4,1
4.106000,4.099962,5UsUgL2uXCCwloJh,1,4,1
4.107000,4.099679,jsLYtHEeDCjRLwum,1,2,1
4.110000,4.094850,GJNzNhuLAVVkbF9F,4,1,1
4.120000,4.113275,jDuHxjzefJgm2bAu,1,5,1
