stime,timestamp,id,source,dest,nhops
0.050000,0.008326,c3JTJGXBehDvO91B,1,4,2
0.260000,0.033826,EKR05zWQvC3JoUxU,1,5,3
0.365000,0.049232,8vblUJpmTcG3jEt2,4,1,2
0.400000,0.080459,G5BOKyfVt2Ty9Tbw,1,5,3
0.435000,0.113404,tEK4qD8xrtKxtXec,1,4,2
0.540000,0.150725,slpK9Gz6RSmQ7EuO,1,3,2
0.575000,0.155730,oNPPISB3uELcFXMu,1,3,2
0.610000,0.199525,PCg5N6l8d1cWw21K,1,5,3
0.715000,0.221976,qUhMfYwSKdhAH9Yk,4,3,2
0.820000,0.221225,ZCymXztSTWT3gfsB,3,4,2
0.890000,0.244215,aRiNctbxSXQyRaOT,1,5,3
1.030000,0.250312,AICPC9W7NxTGrDHV,4,3,2
1.170000,0.273700,vzCBbRmE6uBVnwS7,3,1,2
1.205000,0.260579,ehbn43PgspzLjCUs,3,1,2
1.415000,0.367488,tv0BX0tETF1dip9F,1,4,2
1.450000,0.359067,KW8oRXaHpWBrToXx,3,4,2
1.485000,0.389675,1t7rVF3gZAuAeZ9J,1,4,2
1.520000,0.404680,pvWVPjBM1Bit3U2A,1,4,2
1.590000,0.412435,MjNuehGg4bNdK5GJ,1,3,2
1.625000,0.482719,8FOLLQabRmBvNksz,1,4,2
2.185000,0.518530,s40PYQ2ahnXPw4ot,1,3,2
2.570000,0.522733,9g2VhKQlfNnX7q05,4,1,2
2.850000,0.575923,wR4Ci5qRT3cVmWEi,5,1,3
3.270000,0.613906,apZP37jUO8MlLtgr,3,4,2
3.340000,0.632596,WbQxVVKGashWmAUA,3,1,2
3.375000,0.598894,EvfFcmQlot05ZJCh,5,1,3
3.410000,0.648702,bOaE2UJ8lcyds9ej,3,1,2
3.445000,0.637278,1Ypf4emsmDwOlQ6t,5,1,3
3.515000,0.690291,fSsz95WbACpap3hS,1,3,2
3.550000,0.694628,kjaltlF3vKjXIYRT,4,3,2
3.725000,0.708834,o2MiM8gwdYRkeFYw,1,5,3
3.760000,0.700922,kreIALHvO0AWUZau,3,4,2
4.320000,0.699391,TLmVwODTQKe9dQ7b,4,1,2
4.390000,0.694556,tFyA1kVyV8FYQXO2,4,3,2
4.425000,0.718779,TrOBH95dp3SNtKcx,3,4,2
4.495000,0.733442,wdKpRbzPnbDcJhPW,1,3,2
4.530000,0.734396,hjHAS1eHE1QZHSfZ,1,3,2
4.565000,0.680005,3YFbw2O210g3gcZe,5,1,3
