stime,timestamp,id,source,dest,nhops
0.129490,0.129490,BnZRZWkKbvaMuXor,3,2,1
0.174510,0.174510,U90P3OFMcSeSz12Y,3,5,1
0.221225,0.221225,ZCymXztSTWT3gfsB,3,4,2
0.256477,0.256477,3bnhHYArXtUJxbHD,3,2,1
0.260579,0.260579,ehbn43PgspzLjCUs,3,1,2
0.265095,0.265095,z34zmWOyppKL8T5f,3,2,1
0.273700,0.273700,vzCBbRmE6uBVnwS7,3,1,2
0.331368,0.331368,fnITfRK7vbkXlWC3,3,2,1
0.359067,0.359067,KW8oRXaHpWBrToXx,3,4,2
0.403632,0.403632,QcqqmdIcUafe1Kh4,3,2,1
0.482580,0.482580,8aijYVVsflEvaIdy,3,5,1
0.613906,0.613906,apZP37jUO8MlLtgr,3,4,2
0.632596,0.632596,WbQxVVKGashWmAUA,3,1,2
0.648702,0.648702,bOaE2UJ8lcyds9ej,3,1,2
0.700922,0.700922,kreIALHvO0AWUZau,3,4,2
0.718779,0.718779,TrOBH95dp3SNtKcx,3,4,2
0.771335,0.771335,cpO63wXFWuCytlfv,3,2,1
0.801221,0.801221,UCQ4YKOGswlh5cCK,3,2,1
0.886803,0.886803,IeGvuB9ppPvhLblq,3,2,1
0.916072,0.916072,GuI6UbsfymDgvZHM,3,1,2
0.958613,0.958613,ctDKPaj0AToLOVSE,3,1,2
0.982523,0.982523,vhsbYiGZFZNQuOHa,3,2,1
1.109060,1.109060,LWHNXY7diMdX4G8o,3,4,2
1.125788,1.125788,WYZOTHdVrmxXfMeW,3,1,2
1.150210,1.150210,QkqgSZ2L6o5d6ocE,3,2,1
1.182828,1.182828,SxBO5v34lXdFulsX,3,4,2
1.298529,1.298529,ICwy3sezoIHMH64C,3,4,2
1.384880,1.384880,2h1jLVuOG5j7ZbFN,3,2,1
1.501426,1.501426,du7L3wHsnuCbyalE,3,1,2
1.504346,1.504346,bX0s5dqfoAUGEg0d,3,2,1
1.544850,1.544850,KgdG8Yd5RmehG0sb,3,2,1
1.652477,1.652477,VMEluI4Dhz1evI8n,3,1,2
1.676564,1.676564,ZkbJHkrmmiKENg0H,3,2,1
1.761195,1.761195,Od6r6K6w6dv97wvu,3,5,1
1.772598,1.772598,XBSYmouPVUOVWMpw,3,2,1
1.927622,1.927622,HuCoNZHjPmK1YZEl,3,5,1
1.933350,1.933350,k9Bpm4douOMx97tW,3,1,2
2.041878,2.041878,N4CAwfyJCgGNhgZR,3,5,1
2.124524,2.124524,27U4BPQcDqSU2NCt,3,5,1
2.246136,2.246136,vdp0Rd3pG3cpBitP,3,1,2
2.469027,2.469027,pxIXrAuFUlAm6F1d,3,2,1
2.512713,2.512713,NhaCCyMLBtqi79UK,3,1,2
2.548900,2.548900,OObT27PjDDGa5Dy5,3,1,2
2.665736,2.665736,V8AHbZuypkMfoPRT,3,1,2
2.679850,2.679850,NIlpGJ0BHWv3M8Ft,3,1,2
2.710912,2.710912,2m38jZYDNJQitMyR,3,1,1
2.742821,2.742821,uObkLD39OV8xVA2M,3,1,1
2.760906,2.760906,Tevw5dLqcnIWi2B9,3,4,1
2.764988,2.764988,S2tQI9L6rLPxmtOC,3,1,1
2.842862,2.842862,UpQip8rPSGdR70pR,3,2,1
2.862551,2.862551,vfI5kncKGXjxsBYG,3,1,1
2.979071,2.979071,WFKwnjxsKnleopFL,3,5,1
3.097063,3.097063,mtoTJmwDmOk7gVyW,3,1,1
3.111598,3.111598,p86LjpWlXJimadVt,3,4,1
3.194647,3.194647,klJgWlorGqaQgCIQ,3,4,2
3.202582,3.202582,0N0UuaSdjPAzSYrl,3,4,1
3.256012,3.256012,wRatVRfsUdAH6vGR,3,5,1
3.257027,3.257027,DZZfXYEep5BPzx8X,3,2,1
3.392133,3.392133,J0uqoUoJlcnfOrS3,3,5,1
3.398347,3.398347,4jzlYNaf5rIMOodB,3,2,1
3.423643,3.423643,CE8ur7exRwICInla,3,2,1
3.581325,3.581325,hycGYMrG4PJk2KIS,3,4,1
3.593369,3.593369,LgmltDnKPQyCdIAN,3,5,1
3.638760,3.638760,vdpyemxvqPCRzXhb,3,2,1
3.674765,3.674765,EVo9DO1O6W3brZtG,3,4,1
3.762545,3.762545,zxkVRBzlqRSL973w,3,4,1
3.788166,3.788166,0wjkE9HdRwmnkGvF,3,5,1
3.988763,3.988763,4NhctE4FbGv1r2ow,3,5,1
4.019335,4.019335,EpsRYKKDZsPlyx1C,3,4,1
4.040692,4.040692,gjYm7NTfwvXwtLhp,3,2,1
4.214858,4.214858,MSpRPkGSCC9YbQuJ,3,2,1
4.290420,4.290420,uwUYJPhq9UU9YQvb,3,4,2
