stime,timestamp,id,source,dest,nhops
0.070000,0.028448,ToUWuW9KwauYMOQc,5,3,1
0.091000,0.049289,RnJWjUJLhC384a5c,5,3,1
0.205000,0.140981,goYTW9FmA92kqYIB,2,3,1
0.317000,0.237326,F3OHzZmqZ3CuzX8O,2,3,1
0.520000,0.435762,jTsanUxAdsoD89TQ,2,3,1
0.530000,0.479397,fPmEZvzQljb6E2qO,5,3,1
0.555000,0.150725,slpK9Gz6RSmQ7EuO,1,3,2
0.590000,0.155730,oNPPISB3uELcFXMu,1,3,2
0.751000,0.221976,qUhMfYwSKdhAH9Yk,4,3,2
0.894000,0.851914,27pmMCgOk8H5NM8Z,5,3,1
0.914000,0.851014,z8vpq71wGth694p2,5,3,1
0.954000,0.901558,6LPerqWsWtsMMrAQ,5,3,1
1.030000,0.987191,UTZhLtUbKrKiwwz6,5,3,1
1.046000,0.250312,AICPC9W7NxTGrDHV,4,3,2
1.479000,1.437098,HSUtRWztGeL7DNxW,5,3,1
1.532000,1.487790,DqkNGNTS8uXWIXCx,5,3,1
1.592000,1.550683,pYN83DqAMwwji4gM,5,3,1
1.606000,0.412435,MjNuehGg4bNdK5GJ,1,3,2
1.816000,1.755054,toW8w846U0PgBAmi,2,3,1
1.826000,1.778423,iyJouxaeFNzIo3Oo,5,3,1
1.878000,1.836858,gx6acazI7i2ZUpbL,5,3,1
1.888000,1.813653,OwdxvSiso0zkYgqd,2,3,1
1.968000,1.882629,DiOXBVUOFGeOlL1I,2,3,1
2.062000,2.000602,yDEn2bdnAtb0ABx8,2,3,1
2.201000,0.518530,s40PYQ2ahnXPw4ot,1,3,2
2.267000,2.220046,z54XeBhC2M0ZnpdH,5,3,1
2.306000,2.232303,u6nSw519axyyAuW4,2,3,1
2.376000,2.322750,aJlUtGdnmkfuwXIh,2,3,1
2.411000,2.304571,u7NtwehqYYgxcBwP,2,3,1
2.516000,2.224795,KarHYKjYa0t61Lut,2,3,1
2.551000,2.163367,tOndLroGiYeqbn1t,2,3,1
2.571000,2.519328,dSIb0ug9f2mVnE8X,5,3,1
2.700000,2.571848,VRTkSTeH2eQTwp5O,2,3,1
2.710000,2.650193,GPp9gVcpHXoWkJFE,5,3,1
3.118000,3.044137,MtRJaOCiNp37t14h,2,3,1
3.148000,3.084532,Mx5frETrJdetp4Jz,2,3,1
3.240000,3.198436,XtGP3BIz83y7jWfr,5,3,1
3.444000,3.398663,y9niMe6ZYeUs95wh,5,3,1
3.531000,0.690291,fSsz95WbACpap3hS,1,3,2
3.560000,3.518280,sqBWXerriVCfJYej,5,3,1
3.570000,0.694628,kjaltlF3vKjXIYRT,4,3,2
3.602000,3.548097,n8QCzee16FypwTPc,2,3,1
3.659000,3.617040,jJdvKAzICTmvD6Hm,5,3,1
3.951000,3.888241,7qN2KbNkH6XyyI5R,2,3,1
3.971000,3.916984,0mpLSVQUpK6eRyux,5,3,1
4.017000,3.975521,l4R7qdwJ0RU5vsSb,5,3,1
4.061000,3.992714,MEnAut7ownjTBbfS,2,3,1
4.091000,4.035188,qyJAfwsQnKlYqMg1,2,3,1
4.138000,4.096255,hE6vraIJWHdIiLjy,5,3,1
4.161000,4.092777,WI1QOgbzZvQVZWRR,2,3,1
4.406000,0.694556,tFyA1kVyV8FYQXO2,4,3,2
4.511000,0.733442,wdKpRbzPnbDcJhPW,1,3,2
4.546000,0.734396,hjHAS1eHE1QZHSfZ,1,3,2
4.686000,0.774084,9gR4zfCAXpKQ96H7,4,3,2
4.764000,4.703753,v5LQEuGmr8s4lyoH,5,3,1
4.896000,4.853956,Dz4wJRTsp9E3io6D,5,3,1
5.071000,0.809389,NQc7OW93VEyiduBb,4,3,2
5.141000,0.890637,mm8FuMmWSoW3adP9,1,3,2
5.240000,5.176676,ilAgHl5cChHzRVBe,5,3,1
5.315000,5.127375,YoU44pxOGQTvGjGu,2,3,1
5.630000,5.560462,5yjyiX4Nsctmx9Xk,2,3,1
5.665000,5.612724,ZsUMeDXAcXvf2y8H,2,3,1
5.686000,5.643846,jPbr8nTX1kxsa76c,5,3,1
5.770000,1.011201,HDhNDl1gXQkHnPDW,1,3,2
5.875000,5.799076,RKPNJWjTOJde8QZa,2,3,1
5.885000,5.842610,u2BOjoDPpswYCOtx,5,3,1
5.943000,5.900802,wDwdq8IGZaCRgwTD,5,3,1
6.190000,6.131710,ERjR8FkYXRzHYJAr,2,3,1
6.297000,6.144384,ViRzNU4Douogq5xm,2,3,1
6.470000,6.294914,LxVkfRPiIHffVDjR,2,3,1
6.540000,6.460132,bYq3UBqG8XSvWifa,2,3,1
6.627000,6.584758,AJTZwewIe06oLyCq,5,3,1
6.645000,6.581603,A2W9yT2Cf9T4M1J3,2,3,1
6.715000,6.643692,CbuXbEdxYjiFGKkm,2,3,1
6.925000,6.863240,npcAv05fvwUs0cMH,2,3,1
6.995000,1.176037,5xQlhA34UHYDzhUO,1,3,2
7.025000,6.969402,Sn1JsUjmQ1Ie3ROa,5,3,1
7.100000,1.207740,1xGMx6hGPbfwhfwf,4,3,2
7.178000,7.099244,RWVNZrFEF5Vv9Aij,2,3,1
7.272000,7.222046,NTN4ZQ0YgouTPqMA,5,3,1
7.485000,7.318586,WppifvWtBOzCDgaO,2,3,1
7.525000,7.279215,CEqt1kuwZKfxODLl,2,3,1
7.555000,7.503366,wFixzbLsTHs5h11m,2,3,1
7.590000,7.535355,QqfN62k2hu8ojSiO,2,3,1
7.602000,7.559822,W26ApQGvaJRg4cWF,5,3,1
7.635000,7.583194,wLNmQfTRmQf7ZDVD,5,3,1
8.127000,8.084997,OwjIBaaY1FYLExHP,5,3,1
8.261000,1.555978,ccQRlGhgjBzJnzHL,1,3,2
8.281000,8.215300,13NvIY1D54jGEUA0,5,3,1
8.406000,8.335130,SClGzhEEGgmwHI6X,2,3,1
8.434000,8.391144,p3VPBc6dtUU8gnDp,5,3,1
8.570000,8.504560,UdtsFpn8Qkr98r2K,2,3,1
8.605000,8.550968,fk0DHNMq2s2gYFS9,2,3,1
8.780000,1.673656,cmZfRpWjpVUyd2ps,4,3,2
8.870000,8.822776,jIXXjvMlPYFXtfhb,5,3,1
8.908000,8.865395,PJQeQ4fOfqcVJedw,5,3,1
8.920000,8.803969,q8IgH85xEsTBz9VG,2,3,1
9.037000,8.994019,tFddfAnVeh5lqFTT,5,3,1
9.098000,9.055176,rX3aObFwM23cS5qX,5,3,1
9.112000,9.069378,hE3yZ0zeMfXIzEzU,5,3,1
9.130000,9.046137,GKq5znHBjhEbkRkX,2,3,1
9.312000,9.254043,DbborHJLmrQg8AKA,2,3,1
9.375000,9.239925,JR42WXPKnywStraQ,2,3,1
9.577000,9.534671,xNqgt3tyLKujXexp,5,3,1
9.621000,9.542068,edwQ04ykKJsdEQYq,2,3,1
9.631000,9.578423,cdUp7sJU98cSKOZJ,5,3,1
9.712000,9.669648,ywqNyqfg9NyzDXg4,5,3,1
9.761000,9.701605,H44qfye8oeukinRM,2,3,1
9.796000,9.729033,AV9kwMxOuU2gHNzm,2,3,1
9.812000,9.769258,8hMJglzBfr67hfZJ,5,3,1
9.843000,9.800017,j5ta4wIbQZlg50s6,5,3,1
10.016000,9.964496,0QzmYHN49WsSXz6e,5,3,1
10.041000,9.958071,VC3zksD6ENoReXpv,2,3,1
10.111000,1.741281,fYoG8pSS2eC6lzBz,4,3,2
10.251000,10.186309,XngkXXfCPLeGJjqS,2,3,1
10.346000,10.304077,F7Uexz6RU9sW833p,5,3,1
10.356000,10.312126,wT9kWzT3PmdfR9OO,5,3,1
10.428000,10.376124,Kdw7zKO42s5HLMe9,5,3,1
10.614000,10.572106,UTp5Fvm8rK1FsrCS,5,3,1
10.764000,10.716277,ccWQQPwYfhaDDJV2,5,3,1
10.780000,10.738632,2QUSTrvEmS8PHvrq,5,3,1
10.879000,10.837725,gh9mSJPyLTzXtNim,5,3,1
10.899000,10.728230,bUKk5pp9kk1xW1QR,2,3,1
11.314000,11.272361,OBJsIhcTlkYs5ULY,5,3,1
11.441000,11.370264,svq0HUwJ2Zeoerpg,2,3,1
11.487000,11.402371,PFN90B4fPYL5cifD,2,3,1
11.497000,11.454539,DftMzhBQBRt4cEpi,5,3,1
11.517000,11.444304,mn951MGytb0Q45xZ,2,3,1
11.546000,11.231321,Jpnp9CiHuuPJNRTv,2,3,1
11.566000,11.505170,fCbTZ3DgV7FGGbUD,5,3,1
11.586000,11.501209,cK4cO24wT8fbWgzf,2,3,1
11.596000,11.549400,QhsG0aX5G9XatOHU,5,3,1
11.616000,11.550622,yca9vEGZr7xbzDUy,2,3,1
11.686000,2.014107,53qXyasECDFBrT85,4,3,2
11.721000,11.653076,NmmPJUKCii0e2G3g,2,3,1
11.763000,11.695827,2wLu0KckkwjZ30QJ,2,3,1
11.775000,11.733209,MUV4JdKmXD7FJrcl,5,3,1
11.875000,2.021153,HwjNQXxPKBNjedxU,4,3,2
11.896000,2.035817,8GloZ032oeDm9yQr,4,3,2
12.233000,12.185746,mIAfHRtnC3R0fefY,5,3,1
12.254000,12.107214,ANQeTfQmoPq9ReRw,2,3,1
12.274000,12.212742,R7T4AOOg9PjZVI4o,5,3,1
12.386000,2.114996,Ctl3j6viUI5HWT3X,4,3,2
12.841000,12.781209,6vo5mBffDoZck5zh,2,3,1
12.925000,12.883536,GACXmuFCTnGoX713,5,3,1
13.025000,12.983888,YZMZcM2sRHpsBwNr,5,3,1
13.035000,12.988298,FkhjenCNMcWRTyV8,5,3,1
13.583000,13.533743,yGBxesMLEc60Ts3e,5,3,1
13.611000,13.552570,klXU9OqRp4l4qGik,2,3,1
13.651000,13.490569,qUshV8w7MwS2YgiM,2,3,1
13.704000,13.662320,f2g2F3xMLyihPV5m,5,3,1
13.751000,13.685796,NT1nE0P0M99I4RZA,2,3,1
13.891000,13.816525,poQJgp7UYggmQCPh,2,3,1
14.122000,14.080676,MOTU25LgunmCPSTX,5,3,1
14.176000,14.086667,KkKQwd2hcxXlOySe,2,3,1
14.342000,14.217152,jmYyAvo6nxMQd9JC,2,3,1
14.362000,14.241596,Pc6Bp1Inf4CUVbbr,2,3,1
14.416000,14.362521,zAkpT5jbRcpy40SG,2,3,1
14.571000,14.520228,x50HLMvCJ5iRvdUF,5,3,1
14.588000,14.546112,xgc4mpah1ezLENva,5,3,1
14.598000,14.539937,bRME4B50qSzikLzk,2,3,1
14.608000,14.561381,9YEziDQ9nmbMEigZ,5,3,1
14.626000,14.532073,6ZW9Qr8ifC5LZdUy,2,3,1
14.766000,2.465363,Hbwltdphj9h6lxbp,1,3,2
14.932000,14.882222,HpDQG3Q1TieXxkma,5,3,1
15.143000,15.101124,OtWSEoRW6J7Ei929,5,3,1
15.153000,2.652634,pmN9ROYsiU6m0YXO,1,3,2
15.186000,15.129930,V8zDDIYaTDswZq6U,2,3,1
15.252000,15.191624,FIsbxUccUjfq52AW,5,3,1
15.291000,15.227482,mHye3VeSQq0jzpMw,2,3,1
15.339000,15.297534,SSK50sgssECA8cNe,5,3,1
15.503000,15.461962,EfneDj5OPauNeAXL,5,3,1
15.571000,15.493962,l2vtoUohAIO7sIkx,2,3,1
15.791000,15.744495,9Y6wgzX473ZIUuup,5,3,1
15.904000,15.862157,BcUHavxtYt58R0XF,5,3,1
15.924000,15.867026,3K9PTlYdGsNiWpnD,2,3,1
15.996000,15.954210,Bby5a7qjB9zNoZaX,5,3,1
16.061000,15.984476,rN6DgU9tCzqkS5iA,2,3,1
16.071000,16.021972,PeYFzXnNW4cj9Wn9,5,3,1
16.169000,16.107372,Om2IFbC749jH48yr,2,3,1
16.376000,3.302038,W1AQyhLHKKCKA5je,4,3,2
16.516000,3.354872,YSDPBjQu2az6t6JZ,1,3,2
16.551000,3.377166,nwOut8bJY4vuI7tZ,1,3,2
16.676000,16.634379,zbEyshDmxW7yW5Jy,5,3,1
16.758000,16.690278,au7NNS8A0EPLjWp9,5,3,1
16.831000,16.754538,uzdkXp7cEubKII0a,2,3,1
16.848000,16.806548,25T1bS8izHBCdoRJ,5,3,1
16.901000,16.827799,zJ5faFEQUwVLpTo2,2,3,1
16.946000,16.901290,OAOHFrIVwqsWMVcB,5,3,1
16.996000,16.942017,JfQEKer2oJ7M5cFI,5,3,1
17.248000,17.206524,6wR3kOkPVU7nT0jF,5,3,1
17.321000,17.253896,pHkS8U8Jn989wf2q,2,3,1
17.478000,17.436793,H0tuXVnyFlizFXHA,5,3,1
17.771000,17.728069,gPUdRBwjXY2dylPE,5,3,1
18.132000,18.090575,k0pn5WATR9MvWnER,5,3,1
18.301000,18.238791,vhbDRSXtLyXh62v6,2,3,1
18.321000,18.260020,Z6gHkKQcPgRuzlAS,5,3,1
18.336000,18.257459,2CU7kE80yMvs7W7n,2,3,1
18.449000,18.358716,7NRwg3fbYZFZasOP,2,3,1
